Date,Time,Announce,Caption
,7:30:00,01 移動開始.wav,入室してください
,7:30:30,02 課題読む.wav,課題を読んでください
,7:31:00,03 課題開始.wav,課題を始めてください
,7:31:30,04 課題終了一分前.wav,終了1分前です
,7:32:00,13 課題終了_フィードバック開始.wav,課題をやめて、フィードバックを開始してください
,7:32:30,14 フィードバック終了_移動開始.wav,フィードバックをやめて、移動を開始してください
,7:40:00,01 移動開始.wav,入室してください
,7:40:30,02 課題読む.wav,課題を読んでください
,7:41:00,03 課題開始.wav,課題を始めてください
,7:41:30,04 課題終了一分前.wav,終了1分前です
,7:42:00,13 課題終了_フィードバック開始.wav,課題をやめて、フィードバックを開始してください
,7:42:30,14 フィードバック終了_移動開始.wav,フィードバックをやめて、移動を開始してください
,7:50:00,01 移動開始.wav,入室してください
,7:50:30,02 課題読む.wav,課題を読んでください
,7:51:00,03 課題開始.wav,課題を始めてください
,7:51:30,04 課題終了一分前.wav,終了1分前です
,7:52:00,13 課題終了_フィードバック開始.wav,課題をやめて、フィードバックを開始してください
,7:52:30,14 フィードバック終了_移動開始.wav,フィードバックをやめて、移動を開始してください
,8:00:00,01 移動開始.wav,入室してください
,8:00:30,02 課題読む.wav,課題を読んでください
,8:01:00,03 課題開始.wav,課題を始めてください
,8:01:30,04 課題終了一分前.wav,終了1分前です
,8:02:00,13 課題終了_フィードバック開始.wav,課題をやめて、フィードバックを開始してください
,8:02:30,14 フィードバック終了_移動開始.wav,フィードバックをやめて、移動を開始してください
,8:20:00,01 移動開始.wav,入室してください
,8:20:30,02 課題読む.wav,課題を読んでください
,8:21:00,03 課題開始.wav,課題を始めてください
,8:21:30,04 課題終了一分前.wav,終了1分前です
,8:22:00,13 課題終了_フィードバック開始.wav,課題をやめて、フィードバックを開始してください
,8:22:30,14 フィードバック終了_移動開始.wav,フィードバックをやめて、移動を開始してください
,8:59:00,18 開始1分前.wav,開始1分前です
,9:00:00,01 移動開始.wav,入室してください
,9:01:00,02 課題読む.wav,課題を読んでください
,9:01:30,03 課題開始.wav,課題を始めてください
,9:06:30,04 課題終了一分前.wav,終了1分前です
,9:07:30,13 課題終了_フィードバック開始.wav,課題をやめて、フィードバックを開始してください
,9:11:00,14 フィードバック終了_移動開始.wav,フィードバックをやめて、移動を開始してください
,9:20:00,特別70 開始5分前.wav,開始5分前です
,9:24:00,18 開始1分前.wav,開始1分前です
,9:25:00,01 移動開始.wav,入室してください
,9:26:00,02 課題読む.wav,課題を読んでください
,9:26:30,03 課題開始.wav,課題を始めてください
,9:31:30,04 課題終了一分前.wav,終了1分前です
