Date,Time,Announce
,7:30:00,0
,7:30:30,0
,7:31:00,0
,7:31:30,0
,7:32:00,0
,7:32:30,0
,7:40:00,0
,7:40:30,0
,7:41:00,0
,7:41:30,0
,7:42:00,0
,7:42:30,0
,7:50:00,0
,7:50:30,0
,7:51:00,0
,7:51:30,0
,7:52:00,0
,7:52:30,0
,8:00:00,0
,8:00:30,0
,8:01:00,0
,8:01:30,0
,8:02:00,0
,8:02:30,0
,8:10:00,01 移動開始.wav
,8:10:30,02 課題読む.wav
,8:11:00,03 課題開始.wav
,8:11:30,04 課題終了一分前.wav
,8:12:00,13 課題終了_フィードバック開始.wav
,8:12:30,14 フィードバック終了_移動開始.wav
,8:20:00,01 移動開始.wav
,8:20:30,02 課題読む.wav
,8:21:00,03 課題開始.wav
,8:21:30,04 課題終了一分前.wav
,8:22:00,13 課題終了_フィードバック開始.wav
,8:22:30,14 フィードバック終了_移動開始.wav
,8:30:00,01 移動開始.wav
,8:30:30,02 課題読む.wav
,8:31:00,03 課題開始.wav
,8:31:30,04 課題終了一分前.wav
,8:32:00,13 課題終了_フィードバック開始.wav
,8:32:30,14 フィードバック終了_移動開始.wav
,8:40:00,0
,8:40:30,0
,8:41:00,0
,8:41:30,0
,8:42:00,0
,8:42:30,0
,8:45:00,0
,9:08:00,17 開始2分前.wav
,9:09:00,18 開始1分前.wav
,9:10:00,01 移動開始.wav
,9:11:00,02 課題読む.wav
,9:13:00,03 課題開始.wav
,9:17:00,04 課題終了一分前.wav
,9:18:00,13 課題終了_フィードバック開始.wav
,9:20:00,14 フィードバック終了_移動開始.wav
,9:28:00,17 開始2分前.wav
,9:29:00,18 開始1分前.wav
,9:30:00,01 移動開始.wav
,9:31:00,02 課題読む.wav
,9:33:00,03 課題開始.wav
,9:37:00,04 課題終了一分前.wav
,9:38:00,13 課題終了_フィードバック開始.wav
,9:40:00,14 フィードバック終了_移動開始.wav
,9:41:00,02 課題読む.wav
,9:43:00,03 課題開始.wav
,9:47:00,04 課題終了一分前.wav
,9:48:00,13 課題終了_フィードバック開始.wav
,9:50:00,14 フィードバック終了_移動開始.wav
,9:51:00,02 課題読む.wav
,9:53:00,03 課題開始.wav
,9:57:00,04 課題終了一分前.wav
,9:58:00,13 課題終了_フィードバック開始.wav
,10:00:00,14 フィードバック終了_移動開始.wav
,10:01:00,02 課題読む.wav
,10:03:00,03 課題開始.wav
,10:07:00,04 課題終了一分前.wav
,10:08:00,13 課題終了_フィードバック開始.wav
,10:10:00,14 フィードバック終了_移動開始.wav
,10:11:00,02 課題読む.wav
,10:13:00,03 課題開始.wav
,10:17:00,04 課題終了一分前.wav
,10:18:00,13 課題終了_フィードバック開始.wav
,10:20:00,14 フィードバック終了_移動開始.wav
,10:21:00,02 課題読む.wav
,10:23:00,03 課題開始.wav
,10:27:00,04 課題終了一分前.wav
,10:28:00,13 課題終了_フィードバック開始.wav
,10:30:00,14 フィードバック終了_移動開始.wav
,10:31:00,02 課題読む.wav
,10:33:00,03 課題開始.wav
,10:37:00,04 課題終了一分前.wav
,10:38:00,13 課題終了_フィードバック開始.wav
,10:40:00,14 フィードバック終了_移動開始.wav
,10:41:00,02 課題読む.wav
,10:43:00,03 課題開始.wav
,10:47:00,04 課題終了一分前.wav
,10:48:00,13 課題終了_フィードバック開始.wav
,10:50:00,14 フィードバック終了_移動開始.wav
,10:51:00,0
,10:53:00,0
,10:57:00,0
,10:58:00,0
,10:58:00,17 開始2分前.wav
,10:59:00,18 開始1分前.wav
,11:00:00,01 移動開始.wav
,11:01:00,02 課題読む.wav
,11:03:00,03 課題開始.wav
,11:07:00,04 課題終了一分前.wav
,11:08:00,13 課題終了_フィードバック開始.wav
,11:10:00,14 フィードバック終了_移動開始.wav
,11:11:00,02 課題読む.wav
,11:13:00,03 課題開始.wav
,11:17:00,04 課題終了一分前.wav
,11:18:00,13 課題終了_フィードバック開始.wav
,11:20:00,14 フィードバック終了_移動開始.wav
,11:21:00,02 課題読む.wav
,11:23:00,03 課題開始.wav
,11:27:00,04 課題終了一分前.wav
,11:28:00,13 課題終了_フィードバック開始.wav
,11:30:00,14 フィードバック終了_移動開始.wav
,11:31:00,02 課題読む.wav
,11:33:00,03 課題開始.wav
,11:37:00,04 課題終了一分前.wav
,11:38:00,13 課題終了_フィードバック開始.wav
,11:40:00,14 フィードバック終了_移動開始.wav
,11:41:00,02 課題読む.wav
,11:43:00,03 課題開始.wav
,11:47:00,04 課題終了一分前.wav
,11:48:00,13 課題終了_フィードバック開始.wav
,11:50:00,14 フィードバック終了_移動開始.wav
,11:51:00,02 課題読む.wav
,11:53:00,03 課題開始.wav
,11:57:00,04 課題終了一分前.wav
,11:58:00,13 課題終了_フィードバック開始.wav
,12:00:00,14 フィードバック終了_移動開始.wav
,12:01:00,02 課題読む.wav
,12:03:00,03 課題開始.wav
,12:07:00,04 課題終了一分前.wav
,12:08:00,13 課題終了_フィードバック開始.wav
,12:10:00,14 フィードバック終了_移動開始.wav
,12:11:00,02 課題読む.wav
,12:13:00,03 課題開始.wav
,12:17:00,04 課題終了一分前.wav
,12:18:00,13 課題終了_フィードバック開始.wav
,12:20:00,14 フィードバック終了_移動開始.wav
,12:21:00,02 課題読む.wav
,12:23:00,03 課題開始.wav
,12:27:00,04 課題終了一分前.wav
,12:28:00,13 課題終了_フィードバック開始.wav
,12:30:00,14 フィードバック終了_移動開始.wav
,12:31:00,0
,12:33:00,0
,12:37:00,0
,12:38:00,0
,12:40:00,0
,12:41:00,0
,12:43:00,0
,12:47:00,0
,12:48:00,0
,12:50:00,0
