Date,Time,Announce,Caption
,7:30:00,0,
,7:30:30,0,
,7:31:00,0,
,7:31:30,0,
,7:32:00,0,
,7:32:30,0,
,7:40:00,0,
,7:40:30,0,
,7:41:00,0,
,7:41:30,0,
,7:42:00,0,
,7:42:30,0,
,7:50:00,0,
,7:50:30,0,
,7:51:00,0,
,7:51:30,0,
,7:52:00,0,
,7:52:30,0,
,8:00:00,0,
,8:00:30,0,
,8:01:00,0,
,8:01:30,0,
,8:02:00,0,
,8:02:30,0,
,8:10:00,01 移動開始.wav,入室してください
,8:10:30,02 課題読む.wav,課題を読んでください
,8:11:00,03 課題開始.wav,課題を始めてください
,8:11:30,04 課題終了一分前.wav,終了1分前です
,8:12:00,13 課題終了_フィードバック開始.wav,課題をやめて、フィードバックを開始してください
,8:12:30,14 フィードバック終了_移動開始.wav,フィードバックをやめて、移動を開始してください
,8:20:00,01 移動開始.wav,入室してください
,8:20:30,02 課題読む.wav,課題を読んでください
,8:21:00,03 課題開始.wav,課題を始めてください
,8:21:30,04 課題終了一分前.wav,終了1分前です
,8:22:00,13 課題終了_フィードバック開始.wav,課題をやめて、フィードバックを開始してください
,8:22:30,14 フィードバック終了_移動開始.wav,フィードバックをやめて、移動を開始してください
,8:30:00,01 移動開始.wav,入室してください
,8:30:30,02 課題読む.wav,課題を読んでください
,8:31:00,03 課題開始.wav,課題を始めてください
,8:31:30,04 課題終了一分前.wav,終了1分前です
,8:32:00,13 課題終了_フィードバック開始.wav,課題をやめて、フィードバックを開始してください
,8:32:30,14 フィードバック終了_移動開始.wav,フィードバックをやめて、移動を開始してください
,8:40:00,0,
,8:40:30,0,
,8:41:00,0,
,8:41:30,0,
,8:42:00,0,
,8:42:30,0,
,8:45:00,0,
,9:30:00,0,
,9:31:00,0,
,9:32:00,0,
,9:36:00,0,
,9:37:00,0,
,9:08:00,17 開始2分前.wav,開始2分前です
,9:09:00,18 開始1分前.wav,開始1分前です
,9:10:00,01 移動開始.wav,入室してください
,9:11:00,02 課題読む.wav,課題を読んでください
,9:13:00,03 課題開始.wav,課題を始めてください
,9:17:00,04 課題終了一分前.wav,終了1分前です
,9:18:00,13 課題終了_フィードバック開始.wav,課題をやめて、フィードバックを開始してください
,9:20:00,14 フィードバック終了_移動開始.wav,フィードバックをやめて、移動を開始してください
,9:28:00,17 開始2分前.wav,開始2分前です
,9:29:00,18 開始1分前.wav,開始1分前です
,9:30:00,01 移動開始.wav,入室してください
,9:31:00,02 課題読む.wav,課題を読んでください
,9:33:00,03 課題開始.wav,課題を始めてください
,9:37:00,04 課題終了一分前.wav,終了1分前です
,9:38:00,13 課題終了_フィードバック開始.wav,課題をやめて、フィードバックを開始してください
,9:40:00,14 フィードバック終了_移動開始.wav,フィードバックをやめて、移動を開始してください
,9:41:00,02 課題読む.wav,課題を読んでください
,9:43:00,03 課題開始.wav,課題を始めてください
,9:47:00,04 課題終了一分前.wav,終了1分前です
,9:48:00,13 課題終了_フィードバック開始.wav,課題をやめて、フィードバックを開始してください
,9:50:00,14 フィードバック終了_移動開始.wav,フィードバックをやめて、移動を開始してください
,9:51:00,02 課題読む.wav,課題を読んでください
,9:53:00,03 課題開始.wav,課題を始めてください
,9:57:00,04 課題終了一分前.wav,終了1分前です
,9:58:00,13 課題終了_フィードバック開始.wav,課題をやめて、フィードバックを開始してください
,10:00:00,14 フィードバック終了_移動開始.wav,フィードバックをやめて、移動を開始してください
,10:01:00,02 課題読む.wav,課題を読んでください
,10:03:00,03 課題開始.wav,課題を始めてください
,10:07:00,04 課題終了一分前.wav,終了1分前です
,10:08:00,13 課題終了_フィードバック開始.wav,課題をやめて、フィードバックを開始してください
,10:10:00,14 フィードバック終了_移動開始.wav,フィードバックをやめて、移動を開始してください
,10:11:00,02 課題読む.wav,課題を読んでください
,10:13:00,03 課題開始.wav,課題を始めてください
,10:17:00,04 課題終了一分前.wav,終了1分前です
,10:18:00,13 課題終了_フィードバック開始.wav,課題をやめて、フィードバックを開始してください
,10:20:00,14 フィードバック終了_移動開始.wav,フィードバックをやめて、移動を開始してください
,10:21:00,02 課題読む.wav,課題を読んでください
,10:23:00,03 課題開始.wav,課題を始めてください
,10:27:00,04 課題終了一分前.wav,終了1分前です
,10:28:00,13 課題終了_フィードバック開始.wav,課題をやめて、フィードバックを開始してください
,10:30:00,14 フィードバック終了_移動開始.wav,フィードバックをやめて、移動を開始してください
,10:31:00,02 課題読む.wav,課題を読んでください
,10:33:00,03 課題開始.wav,課題を始めてください
,10:37:00,04 課題終了一分前.wav,終了1分前です
,10:38:00,13 課題終了_フィードバック開始.wav,課題をやめて、フィードバックを開始してください
,10:40:00,14 フィードバック終了_移動開始.wav,フィードバックをやめて、移動を開始してください
,10:41:00,02 課題読む.wav,課題を読んでください
,10:43:00,03 課題開始.wav,課題を始めてください
,10:47:00,04 課題終了一分前.wav,終了1分前です
,10:48:00,13 課題終了_フィードバック開始.wav,課題をやめて、フィードバックを開始してください
,10:50:00,14 フィードバック終了_移動開始.wav,フィードバックをやめて、移動を開始してください
,10:51:00,0,
,10:53:00,0,
,10:57:00,0,
,10:58:00,0,
,11:00:00,0,
,10:58:00,17 開始2分前.wav,開始2分前です
,10:59:00,18 開始1分前.wav,開始1分前です
,11:00:00,01 移動開始.wav,入室してください
,11:01:00,02 課題読む.wav,課題を読んでください
,11:03:00,03 課題開始.wav,課題を始めてください
,11:07:00,04 課題終了一分前.wav,終了1分前です
,11:08:00,13 課題終了_フィードバック開始.wav,課題をやめて、フィードバックを開始してください
,11:10:00,14 フィードバック終了_移動開始.wav,フィードバックをやめて、移動を開始してください
,11:11:00,02 課題読む.wav,課題を読んでください
,11:13:00,03 課題開始.wav,課題を始めてください
,11:17:00,04 課題終了一分前.wav,終了1分前です
,11:18:00,13 課題終了_フィードバック開始.wav,課題をやめて、フィードバックを開始してください
,11:20:00,14 フィードバック終了_移動開始.wav,フィードバックをやめて、移動を開始してください
,11:21:00,02 課題読む.wav,課題を読んでください
,11:23:00,03 課題開始.wav,課題を始めてください
,11:27:00,04 課題終了一分前.wav,終了1分前です
,11:28:00,13 課題終了_フィードバック開始.wav,課題をやめて、フィードバックを開始してください
,11:30:00,14 フィードバック終了_移動開始.wav,フィードバックをやめて、移動を開始してください
,11:31:00,02 課題読む.wav,課題を読んでください
,11:33:00,03 課題開始.wav,課題を始めてください
,11:37:00,04 課題終了一分前.wav,終了1分前です
,11:38:00,13 課題終了_フィードバック開始.wav,課題をやめて、フィードバックを開始してください
,11:40:00,14 フィードバック終了_移動開始.wav,フィードバックをやめて、移動を開始してください
,11:41:00,02 課題読む.wav,課題を読んでください
,11:43:00,03 課題開始.wav,課題を始めてください
,11:47:00,04 課題終了一分前.wav,終了1分前です
,11:48:00,13 課題終了_フィードバック開始.wav,課題をやめて、フィードバックを開始してください
