Date,Time,Announce,Caption
2026/12/14,7:30:00,01 移動開始.wav,入室してください
2026/12/14,7:30:30,02 課題読む.wav,課題を読んでください
2026/12/14,7:31:00,03 課題開始.wav,課題を始めてください
2026/12/14,7:31:30,04 課題終了一分前.wav,終了1分前です
,7:32:00,05 課題終了_移動開始.wav,課題を終了し、移動を開始してください
,7:32:30,06 課題終了.wav,課題を終了してください
,7:40:00,01 移動開始.wav,入室してください
,7:40:30,02 課題読む.wav,課題を読んでください
,7:41:00,03 課題開始.wav,課題を始めてください
,7:41:30,04 課題終了一分前.wav,終了1分前です
,7:42:00,05 課題終了_移動開始.wav,課題を終了し、移動を開始してください
,7:42:30,06 課題終了.wav,課題を終了してください
,7:50:00,01 移動開始.wav,入室してください
,7:50:30,02 課題読む.wav,課題を読んでください
,7:51:00,03 課題開始.wav,課題を始めてください
,7:51:30,04 課題終了一分前.wav,終了1分前です
,7:52:00,05 課題終了_移動開始.wav,課題を終了し、移動を開始してください
,7:52:30,06 課題終了.wav,課題を終了してください
,8:00:00,01 移動開始.wav,入室してください
,8:00:30,02 課題読む.wav,課題を読んでください
,8:01:00,03 課題開始.wav,課題を始めてください
,8:01:30,04 課題終了一分前.wav,終了1分前です
,8:02:00,05 課題終了_移動開始.wav,課題を終了し、移動を開始してください
,8:02:30,06 課題終了.wav,課題を終了してください
,8:20:00,01 移動開始.wav,入室してください
,8:20:30,02 課題読む.wav,課題を読んでください
,8:21:00,03 課題開始.wav,課題を始めてください
,8:21:30,04 課題終了一分前.wav,終了1分前です
,8:22:00,05 課題終了_移動開始.wav,課題を終了し、移動を開始してください
,8:22:30,06 課題終了.wav,課題を終了してください
,9:09:00,26 テストラン開始1分前.wav,1分後に、テストランを開始します
,9:10:00,01 移動開始.wav,入室してください
,9:12:00,02 課題読む.wav,課題を読んでください
,9:13:00,03 課題開始.wav,課題を始めてください
,9:17:00,04 課題終了一分前.wav,終了1分前です
,9:18:00,06 課題終了.wav,課題を終了してください
,9:28:00,17 開始2分前.wav,開始2分前です
,9:29:00,18 開始1分前.wav,開始1分前です
,9:30:00,01 移動開始.wav,入室してください
,9:32:00,02 課題読む.wav,課題を読んでください
,9:33:00,03 課題開始.wav,課題を始めてください
,9:37:00,04 課題終了一分前.wav,終了1分前です
,9:38:00,05 課題終了_移動開始.wav,課題を終了し、移動を開始してください
,9:40:00,01 移動開始.wav,入室してください
,9:42:00,02 課題読む.wav,課題を読んでください
,9:43:00,03 課題開始.wav,課題を始めてください
,9:47:00,04 課題終了一分前.wav,終了1分前です
,9:48:00,05 課題終了_移動開始.wav,課題を終了し、移動を開始してください
,9:50:00,01 移動開始.wav,入室してください
,9:52:00,02 課題読む.wav,課題を読んでください
,9:53:00,03 課題開始.wav,課題を始めてください
,9:57:00,04 課題終了一分前.wav,終了1分前です
,9:58:00,05 課題終了_移動開始.wav,課題を終了し、移動を開始してください
,10:00:00,01 移動開始.wav,入室してください
,10:02:00,02 課題読む.wav,課題を読んでください
,10:03:00,03 課題開始.wav,課題を始めてください
,10:07:00,04 課題終了一分前.wav,終了1分前です
,10:08:00,05 課題終了_移動開始.wav,課題を終了し、移動を開始してください
,10:10:00,01 移動開始.wav,入室してください
,10:12:00,02 課題読む.wav,課題を読んでください
,10:13:00,03 課題開始.wav,課題を始めてください
,10:17:00,04 課題終了一分前.wav,終了1分前です
,10:18:00,05 課題終了_移動開始.wav,課題を終了し、移動を開始してください
,10:20:00,01 移動開始.wav,入室してください
,10:22:00,02 課題読む.wav,課題を読んでください
,10:23:00,03 課題開始.wav,課題を始めてください
,10:27:00,04 課題終了一分前.wav,終了1分前です
,10:28:00,05 課題終了_移動開始.wav,課題を終了し、移動を開始してください
,10:30:00,01 移動開始.wav,入室してください
,10:32:00,02 課題読む.wav,課題を読んでください
,10:33:00,03 課題開始.wav,課題を始めてください
,10:37:00,04 課題終了一分前.wav,終了1分前です
,10:38:00,05 課題終了_移動開始.wav,課題を終了し、移動を開始してください
,10:38:15,19 休憩に入る.wav,これから、休憩に入ります
,10:48:00,17 開始2分前.wav,開始2分前です
,10:49:00,18 開始1分前.wav,開始1分前です
,10:50:00,01 移動開始.wav,入室してください
,10:52:00,02 課題読む.wav,課題を読んでください
,10:53:00,03 課題開始.wav,課題を始めてください
,10:57:00,04 課題終了一分前.wav,終了1分前です
,10:58:00,05 課題終了_移動開始.wav,課題を終了し、移動を開始してください
,11:00:00,01 移動開始.wav,入室してください
,11:02:00,02 課題読む.wav,課題を読んでください
,11:03:00,03 課題開始.wav,課題を始めてください
,11:07:00,04 課題終了一分前.wav,終了1分前です
,11:08:00,05 課題終了_移動開始.wav,課題を終了し、移動を開始してください
,11:10:00,01 移動開始.wav,入室してください
,11:12:00,02 課題読む.wav,課題を読んでください
,11:13:00,03 課題開始.wav,課題を始めてください
,11:17:00,04 課題終了一分前.wav,終了1分前です
,11:18:00,05 課題終了_移動開始.wav,課題を終了し、移動を開始してください
,11:20:00,01 移動開始.wav,入室してください
,11:22:00,02 課題読む.wav,課題を読んでください
,11:23:00,03 課題開始.wav,課題を始めてください
,11:27:00,04 課題終了一分前.wav,終了1分前です
,11:28:00,05 課題終了_移動開始.wav,課題を終了し、移動を開始してください
,11:30:00,01 移動開始.wav,入室してください
,11:32:00,02 課題読む.wav,課題を読んでください
,11:33:00,03 課題開始.wav,課題を始めてください
,11:37:00,04 課題終了一分前.wav,終了1分前です
,11:38:00,05 課題終了_移動開始.wav,課題を終了し、移動を開始してください
,11:40:00,01 移動開始.wav,入室してください
,11:42:00,02 課題読む.wav,課題を読んでください
,11:43:00,03 課題開始.wav,課題を始めてください
,11:47:00,04 課題終了一分前.wav,終了1分前です
,11:48:00,05 課題終了_移動開始.wav,課題を終了し、移動を開始してください
,11:48:15,19 休憩に入る.wav,これから、休憩に入ります
,11:58:00,17 開始2分前.wav,開始2分前です
,11:59:00,18 開始1分前.wav,開始1分前です
,12:00:00,01 移動開始.wav,入室してください
,12:02:00,02 課題読む.wav,課題を読んでください
