Date,Time,Announce
,7:30:00,01 移動開始.wav
,7:30:30,02 課題読む.wav
,7:31:00,03 課題開始.wav
,7:31:30,04 課題終了一分前.wav
,7:32:00,13 課題終了_フィードバック開始.wav
,7:32:30,14 フィードバック終了_移動開始.wav
,7:40:00,01 移動開始.wav
,7:40:30,02 課題読む.wav
,7:41:00,03 課題開始.wav
,7:41:30,04 課題終了一分前.wav
,7:42:00,13 課題終了_フィードバック開始.wav
,7:42:30,14 フィードバック終了_移動開始.wav
,7:50:00,01 移動開始.wav
,7:50:30,02 課題読む.wav
,7:51:00,03 課題開始.wav
,7:51:30,04 課題終了一分前.wav
,7:52:00,13 課題終了_フィードバック開始.wav
,7:52:30,14 フィードバック終了_移動開始.wav
,8:00:00,01 移動開始.wav
,8:00:30,02 課題読む.wav
,8:01:00,03 課題開始.wav
,8:01:30,04 課題終了一分前.wav
,8:02:00,13 課題終了_フィードバック開始.wav
,8:02:30,14 フィードバック終了_移動開始.wav
,8:20:00,01 移動開始.wav
,8:20:30,02 課題読む.wav
,8:21:00,03 課題開始.wav
,8:21:30,04 課題終了一分前.wav
,8:22:00,13 課題終了_フィードバック開始.wav
,8:22:30,14 フィードバック終了_移動開始.wav
,8:59:00,18 開始1分前.wav
,9:00:00,01 移動開始.wav
,9:01:00,02 課題読む.wav
,9:01:30,03 課題開始.wav
,9:06:30,04 課題終了一分前.wav
,9:07:30,13 課題終了_フィードバック開始.wav
,9:11:00,14 フィードバック終了_移動開始.wav
,9:20:00,特別70 開始5分前.wav
,9:24:00,18 開始1分前.wav
,9:25:00,01 移動開始.wav
,9:26:00,02 課題読む.wav
,9:26:30,03 課題開始.wav
,9:31:30,04 課題終了一分前.wav
,9:32:30,13 課題終了_フィードバック開始.wav
,9:36:00,14 フィードバック終了_移動開始.wav
,9:37:00,01 移動開始.wav
,9:38:00,02 課題読む.wav
,9:38:30,03 課題開始.wav
,9:43:30,04 課題終了一分前.wav
,9:44:30,13 課題終了_フィードバック開始.wav
,9:48:00,14 フィードバック終了_移動開始.wav
,9:49:00,01 移動開始.wav
,9:50:00,02 課題読む.wav
,9:50:30,03 課題開始.wav
,9:55:30,04 課題終了一分前.wav
,9:56:30,13 課題終了_フィードバック開始.wav
,10:00:00,14 フィードバック終了_移動開始.wav
,10:01:00,01 移動開始.wav
,10:02:00,02 課題読む.wav
,10:02:30,03 課題開始.wav
,10:07:30,04 課題終了一分前.wav
,10:08:30,13 課題終了_フィードバック開始.wav
,10:12:00,14 フィードバック終了_移動開始.wav
,10:13:00,01 移動開始.wav
,10:14:00,02 課題読む.wav
,10:14:30,03 課題開始.wav
,10:19:30,04 課題終了一分前.wav
,10:20:30,13 課題終了_フィードバック開始.wav
,10:24:00,14 フィードバック終了_移動開始.wav
,10:25:00,01 移動開始.wav
,10:26:00,02 課題読む.wav
,10:26:30,03 課題開始.wav
,10:31:30,04 課題終了一分前.wav
,10:32:30,13 課題終了_フィードバック開始.wav
,10:36:00,14 フィードバック終了_移動開始.wav
,10:36:15,19 休憩に入る.wav
,11:00:00,特別70 開始5分前.wav
,11:04:00,18 開始1分前.wav
,11:05:00,01 移動開始.wav
,11:06:00,02 課題読む.wav
,11:06:30,03 課題開始.wav
,11:11:30,04 課題終了一分前.wav
,11:12:30,13 課題終了_フィードバック開始.wav
,11:16:00,14 フィードバック終了_移動開始.wav
,11:17:00,01 移動開始.wav
,11:18:00,02 課題読む.wav
,11:18:30,03 課題開始.wav
,11:23:30,04 課題終了一分前.wav
,11:24:30,13 課題終了_フィードバック開始.wav
,11:28:00,14 フィードバック終了_移動開始.wav
,11:29:00,01 移動開始.wav
,11:30:00,02 課題読む.wav
,11:30:30,03 課題開始.wav
,11:35:30,04 課題終了一分前.wav
,11:36:30,13 課題終了_フィードバック開始.wav
,11:40:00,14 フィードバック終了_移動開始.wav
,11:41:00,01 移動開始.wav
,11:42:00,02 課題読む.wav
,11:42:30,03 課題開始.wav
,11:47:30,04 課題終了一分前.wav
,11:48:30,13 課題終了_フィードバック開始.wav
,11:52:00,14 フィードバック終了_移動開始.wav
,11:53:00,01 移動開始.wav
,11:54:00,02 課題読む.wav
,11:54:30,03 課題開始.wav
,11:59:30,04 課題終了一分前.wav
,12:00:30,13 課題終了_フィードバック開始.wav
,12:04:00,14 フィードバック終了_移動開始.wav
,12:05:00,01 移動開始.wav
,12:06:00,02 課題読む.wav
,12:06:30,03 課題開始.wav
,12:11:30,04 課題終了一分前.wav
,12:12:30,13 課題終了_フィードバック開始.wav
,12:16:00,14 フィードバック終了_移動開始.wav
,12:16:15,特別74 試験終了.wav
