Date,Time,Announce
,7:30:00,01 移動開始.wav
,7:30:30,02 課題読む.wav
,7:31:00,03 課題開始.wav
,7:31:30,04 課題終了一分前.wav
,7:32:00,13 課題終了・フィードバック開始.wav
,7:32:30,14 フィードバック終了・移動開始.wav
,7:40:00,01 移動開始.wav
,7:40:30,02 課題読む.wav
,7:41:00,03 課題開始.wav
,7:41:30,04 課題終了一分前.wav
,7:42:00,13 課題終了・フィードバック開始.wav
,7:42:30,14 フィードバック終了・移動開始.wav
,7:50:00,01 移動開始.wav
,7:50:30,02 課題読む.wav
,7:51:00,03 課題開始.wav
,7:51:30,04 課題終了一分前.wav
,7:52:00,13 課題終了・フィードバック開始.wav
,7:52:30,14 フィードバック終了・移動開始.wav
,8:00:00,01 移動開始.wav
,8:00:30,02 課題読む.wav
,8:01:00,03 課題開始.wav
,8:01:30,04 課題終了一分前.wav
,8:02:00,13 課題終了・フィードバック開始.wav
,8:02:30,14 フィードバック終了・移動開始.wav
,8:20:00,01 移動開始.wav
,8:20:30,02 課題読む.wav
,8:21:00,03 課題開始.wav
,8:21:30,04 課題終了一分前.wav
,8:22:00,13 課題終了・フィードバック開始.wav
,8:22:30,14 フィードバック終了・移動開始.wav
,8:59:00,18 開始1分前.wav
,9:00:00,01 移動開始.wav
,9:01:00,02 課題読む.wav
,9:03:00,03 課題開始.wav
,9:07:00,04 課題終了一分前.wav
,9:08:00,13 課題終了・フィードバック開始.wav
,9:11:00,14 フィードバック終了・移動開始.wav
,9:15:00,特別70 開始5分前.wav
,9:19:00,18 開始1分前.wav
,9:20:00,01 移動開始.wav
,9:21:00,02 課題読む.wav
,9:23:00,03 課題開始.wav
,9:27:00,04 課題終了一分前.wav
,9:28:00,13 課題終了・フィードバック開始.wav
,9:31:00,14 フィードバック終了・移動開始.wav
,9:32:00,01 移動開始.wav
,9:33:00,02 課題読む.wav
,9:35:00,03 課題開始.wav
,9:39:00,04 課題終了一分前.wav
,9:40:00,13 課題終了・フィードバック開始.wav
,9:43:00,14 フィードバック終了・移動開始.wav
,9:44:00,01 移動開始.wav
,9:45:00,02 課題読む.wav
,9:47:00,03 課題開始.wav
,9:51:00,04 課題終了一分前.wav
,9:52:00,13 課題終了・フィードバック開始.wav
,9:55:00,14 フィードバック終了・移動開始.wav
,9:56:00,01 移動開始.wav
,9:57:00,02 課題読む.wav
,9:59:00,03 課題開始.wav
,10:03:00,04 課題終了一分前.wav
,10:04:00,13 課題終了・フィードバック開始.wav
,10:07:00,14 フィードバック終了・移動開始.wav
,10:08:00,01 移動開始.wav
,10:09:00,02 課題読む.wav
